ICAO,Latitude,Longitude,Elevation
CYBC,49.11666667,-68.2,22
CYBD,52.36666667,-126.5666667,35
CYBG,48.33333333,-70.98333333,159
CYBK,64.28333333,-96.06666667,18
CYBL,49.95,-125.2666667,106
CYBN,44.26666667,-79.91666667,223
CYBQ,58.7,-98.5,262
CYBR,49.91666667,-99.95,409
CYBU,53.31666667,-104,374
CYBV,52.35,-97.03333333,222
CYBW,51.1,-114.3666667,1200
CYBX,51.45,-57.16666667,35
CYCA,53.68333333,-57.03333333,12
CYCB,69.08333333,-105.1166667,27
CYCD,49.05,-123.8666667,30
CYCG,49.28333333,-117.6166667,495
CYCH,47,-65.45,31
CYCL,47.98333333,-66.33333333,38
CYCO,67.81666667,-115.15,22
CYCP,52.13333333,-119.2833333,683
CYCQ,55.7,-121.6166667,609
CYCS,63.35,-90.71666667,11
CYCX,45.81666667,-66.41666667,51
CYCY,70.46666667,-68.51666667,26
CYDA,64.03333333,-139.1166667,369
CYDB,61.36666667,-139.05,801
CYDC,49.46666667,-120.5166667,700
CYDF,49.21666667,-57.4,22
CYDL,58.41666667,-130.0166667,816
CYDN,51.1,-100.05,305
CYDP,56.53333333,-61.66666667,7
CYDQ,55.75,-120.1666667,655
CYDR,50.36666667,-102.5333333,615
CYED,53.66666667,-113.4666667,688
CYEG,53.28333333,-113.5666667,723
CYEK,61.1,-94.06666667,10
CYEL,46.35,-82.56666667,329
CYEN,49.21666667,-102.9666667,581
CYER,56.01666667,-87.68333333,16
CYET,53.56666667,-116.4666667,925
CYEU,80,-85.81666667,78
CYEV,68.31666667,-133.5,68
CYFB,63.75,-68.55,34
CYFC,45.86666667,-66.51666667,20
CYFO,54.66666667,-101.6666667,304
CYFR,61.16666667,-113.6666667,164
CYFS,61.75,-121.2166667,169
CYFT,55.06666667,-59.16666667,71
CYGE,51.3,-116.9833333,785
CYGH,66.26666667,-128.6166667,66
CYGK,44.21666667,-76.58333333,93
CYGL,53.61666667,-77.7,195
CYGM,50.61666667,-97.01666667,230
CYGP,48.76666667,-64.46666667,33
CYGQ,49.76666667,-86.91666667,351
CYGR,47.41666667,-61.76666667,10
CYGT,69.36666667,-81.81666667,51
CYGV,50.26666667,-63.61666667,33
CYGW,55.26666667,-77.76666667,12
CYGX,56.35,-94.7,145
CYHA,61.03333333,-69.61666667,30
CYHB,52.81666667,-102.3166667,358
CYHD,49.81666667,-92.75,413
CYHE,49.36666667,-121.5,39
CYHH,51.7,-76.11666667,244
CYHI,70.76666667,-117.7833333,36
CYHK,68.61666667,-95.83333333,46
CYHM,43.16666667,-79.93333333,238
CYHU,45.51666667,-73.41666667,27
CYHY,60.81666667,-115.7666667,166
CYHZ,44.86666667,-63.5,145
CYID,44.53333333,-65.76666667,152
CYIK,62.41666667,-77.93333333,42
CYIN,51.26666667,-121.6833333,1128
CYIO,72.66666667,-77.96666667,57
CYIV,53.85,-94.65,237
CYJF,60.21666667,-123.4666667,215
CYJT,48.55,-58.56666667,26
CYKA,50.7,-120.45,346
CYKD,68.21666667,-135,7
CYKF,43.46666667,-80.38333333,317
CYKG,61.56666667,-71.91666667,151
CYKJ,57.25,-105.6166667,509
CYKL,54.78333333,-66.81666667,521
CYKO,60.81666667,-78.15,9
CYKQ,51.46666667,-78.75,23
CYKY,51.51666667,-109.1666667,694
CYKZ,43.86666667,-79.36666667,198
CYLA,59.28333333,-69.58333333,35
CYLC,62.85,-69.86666667,53
CYLD,47.81666667,-83.33333333,447
CYLF,52.23333333,-87.88333333,242
CYLH,52.2,-87.93333333,254
CYLJ,54.11666667,-108.5166667,480
CYLK,62.41666667,-110.6666667,179
CYLL,53.31666667,-110.0666667,669
CYLT,82.51666667,-62.26666667,31
CYLU,58.71666667,-65.96666667,60
CYLW,49.95,-119.3666667,430
CYMA,63.61666667,-135.8666667,504
CYMD,76.21666667,-119.3166667,12
CYMH,52.28333333,-55.85,11
